url,label
https://google.com,0
https://openai.com,0
https://github.com,0
https://wikipedia.org,0
https://amazon.com,0
http://free-money.com/login,1
http://verify-login.info/login,1
http://secure-paypal.xyz/login,1
http://login-steal.ru/login,1
http://bit.ly/312,1
http://bit.ly/510,1
http://bit.ly/385,1
http://bit.ly/555,1
http://bit.ly/580,1
http://bit.ly/783,1
http://bit.ly/249,1
http://bit.ly/140,1
http://bit.ly/694,1
http://bit.ly/625,1
http://214.180.93.171/,1
http://228.177.81.72/,1
http://172.56.54.165/,1
http://96.121.251.141/,1
http://66.173.15.30/,1
